epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,3920.87,0.24512,1.08502,0.96378,0.33585,0.54253,0.45961,0.33793,0.58676,1.8397,0.55443,0.000979013,0.000979013,0.000979013
14,4212.83,0.27371,1.11067,0.95739,0.6398,0.36218,0.40895,0.29126,0.67777,2.11206,0.61166,0.000968014,0.000968014,0.000968014
15,4516.2,0.23637,1.07865,0.96767,0.32555,0.46,0.39514,0.31376,0.6401,1.67101,0.68019,0.000957015,0.000957015,0.000957015
16,4848.12,0.26917,1.08968,0.9767,0.33048,0.47981,0.3072,0.18751,0.90616,1.99276,0.93858,0.000946016,0.000946016,0.000946016
17,5157.01,0.23553,1.00922,0.9401,0.24365,0.65455,0.35212,0.29551,0.52883,2.72883,0.50394,0.000935018,0.000935018,0.000935018
18,5397.18,0.22677,1.05521,0.93188,0.2422,0.55351,0.32763,0.23952,0.67835,2.11774,0.55801,0.000924019,0.000924019,0.000924019
19,5639.98,0.2194,1.01315,0.94761,0.48936,0.62788,0.50456,0.46537,0.34784,1.42672,0.34319,0.00091302,0.00091302,0.00091302
20,5884.3,0.20365,0.95807,0.9371,0.41711,0.51286,0.48219,0.40374,0.58353,1.65706,0.54661,0.000902021,0.000902021,0.000902021
21,6124.81,0.20942,1.00835,0.92861,0.43609,0.661,0.53107,0.43749,0.55739,1.38107,0.51229,0.000891022,0.000891022,0.000891022
22,6363.98,0.2156,0.96796,0.94449,0.24608,0.46831,0.29239,0.23507,0.57866,2.47476,0.57228,0.000880023,0.000880023,0.000880023
23,6603.78,0.19268,0.95526,0.94735,0.4139,0.68928,0.53958,0.41264,0.58199,1.64403,0.5591,0.000869024,0.000869024,0.000869024
24,6842.76,0.16953,0.93678,0.92222,0.41617,0.71403,0.48149,0.4125,0.51239,1.73284,0.48142,0.000858025,0.000858025,0.000858025
25,7102.32,0.17591,0.96821,0.93026,0.52538,0.4171,0.45032,0.3307,0.79318,1.84357,0.67572,0.000847026,0.000847026,0.000847026
26,7348.02,0.19398,0.91034,0.9383,0.5805,0.58617,0.55883,0.4872,0.4597,1.37722,0.42373,0.000836027,0.000836027,0.000836027
27,7587.82,0.18057,0.85516,0.92241,0.58757,0.43883,0.52417,0.40794,0.60336,1.54413,0.56696,0.000825029,0.000825029,0.000825029
28,7830.21,0.17934,0.86502,0.94246,0.55242,0.58558,0.62851,0.56169,0.43096,1.22683,0.4249,0.00081403,0.00081403,0.00081403
29,8074.64,0.19596,0.85895,0.93347,0.64144,0.52415,0.57461,0.46932,0.49186,1.40804,0.50334,0.000803031,0.000803031,0.000803031
30,8314.22,0.17273,0.83026,0.9445,0.41984,0.65164,0.57097,0.49593,0.41963,1.33339,0.39624,0.000792032,0.000792032,0.000792032
31,8553.97,0.18177,0.85206,0.94143,0.43504,0.546,0.50299,0.42346,0.57661,1.50987,0.53573,0.000781033,0.000781033,0.000781033
32,8793.34,0.1766,0.82695,0.91564,0.53645,0.45586,0.51111,0.44199,0.49528,1.39187,0.48631,0.000770034,0.000770034,0.000770034
33,9031.48,0.16625,0.80356,0.9171,0.54775,0.59922,0.59067,0.46269,0.51307,1.40916,0.45212,0.000759035,0.000759035,0.000759035
34,9270.19,0.16074,0.8001,0.91674,0.59427,0.55862,0.6006,0.53026,0.45525,1.42404,0.4065,0.000748036,0.000748036,0.000748036
35,9508.35,0.15764,0.73946,0.91925,0.61576,0.59883,0.64476,0.61425,0.32044,1.23318,0.2952,0.000737037,0.000737037,0.000737037
36,9746.97,0.15086,0.79594,0.91358,0.35013,0.77098,0.53168,0.4732,0.401,1.49846,0.37044,0.000726038,0.000726038,0.000726038
37,9986.02,0.14998,0.79413,0.91401,0.61041,0.6876,0.64809,0.57702,0.39631,1.12806,0.3549,0.00071504,0.00071504,0.00071504
38,10224.5,0.14139,0.72749,0.89877,0.51152,0.69755,0.6225,0.58742,0.35799,1.09042,0.32972,0.000704041,0.000704041,0.000704041
39,10489.5,0.16399,0.76342,0.92981,0.4673,0.68,0.53738,0.45072,0.55393,1.51606,0.46313,0.000693042,0.000693042,0.000693042
40,10794.9,0.15426,0.71729,0.93538,0.50402,0.51127,0.52172,0.4769,0.47989,1.7286,0.45051,0.000682043,0.000682043,0.000682043
41,11080.4,0.1355,0.74641,0.90161,0.4494,0.63813,0.52703,0.46601,0.4933,1.40005,0.46994,0.000671044,0.000671044,0.000671044
42,11332.1,0.14365,0.79198,0.91394,0.462,0.73375,0.54439,0.48511,0.37349,1.12582,0.36561,0.000660045,0.000660045,0.000660045
43,11596.3,0.1386,0.72193,0.904,0.56231,0.74999,0.64451,0.57563,0.3641,1.01974,0.35355,0.000649046,0.000649046,0.000649046
44,11882.2,0.13424,0.74197,0.91486,0.56426,0.79298,0.6578,0.63561,0.28747,1.13862,0.28293,0.000638047,0.000638047,0.000638047
45,12161.6,0.13803,0.71345,0.90865,0.69769,0.55912,0.63331,0.59545,0.33634,1.28663,0.31311,0.000627048,0.000627048,0.000627048
46,12441.8,0.13213,0.74755,0.91102,0.5295,0.65292,0.63318,0.60473,0.29642,1.28088,0.27624,0.000616049,0.000616049,0.000616049
47,12709.5,0.13747,0.65586,0.91372,0.6829,0.56714,0.71305,0.66288,0.34325,1.0559,0.316,0.000605051,0.000605051,0.000605051
48,12957.6,0.12608,0.65434,0.90795,0.70688,0.64549,0.67376,0.61423,0.34859,1.01262,0.32702,0.000594052,0.000594052,0.000594052
49,13201.9,0.13247,0.693,0.91375,0.71113,0.56606,0.68518,0.65238,0.33919,1.18554,0.32483,0.000583053,0.000583053,0.000583053
50,13446.8,0.13952,0.69127,0.92294,0.61463,0.68891,0.66744,0.60933,0.35407,1.2519,0.33007,0.000572054,0.000572054,0.000572054
51,13689.9,0.1359,0.6984,0.9125,0.62496,0.67358,0.63077,0.5691,0.40574,1.19302,0.35815,0.000561055,0.000561055,0.000561055
52,13932.2,0.13394,0.61851,0.91055,0.71182,0.64108,0.67773,0.58131,0.44063,1.09411,0.39823,0.000550056,0.000550056,0.000550056
53,14173.5,0.11705,0.67253,0.90778,0.61743,0.67459,0.7134,0.63555,0.36977,1.12715,0.34985,0.000539057,0.000539057,0.000539057
54,14415,0.12753,0.61297,0.9101,0.60349,0.65321,0.72097,0.68023,0.32959,1.30948,0.31117,0.000528058,0.000528058,0.000528058
55,14661.4,0.13084,0.60761,0.91564,0.64213,0.61532,0.67247,0.63401,0.3297,1.65837,0.31323,0.000517059,0.000517059,0.000517059
56,14927.4,0.12601,0.59113,0.90248,0.56993,0.55221,0.61936,0.57277,0.34708,1.39986,0.33276,0.00050606,0.00050606,0.00050606
57,15182,0.11513,0.57424,0.90107,0.59413,0.64084,0.6471,0.60501,0.35367,1.2769,0.33972,0.000495062,0.000495062,0.000495062
58,15430,0.1153,0.58009,0.89923,0.70595,0.57562,0.69052,0.66134,0.31213,1.04006,0.29864,0.000484063,0.000484063,0.000484063
59,15670.1,0.10552,0.54913,0.90241,0.73645,0.54023,0.69332,0.66338,0.29853,1.1364,0.27722,0.000473064,0.000473064,0.000473064
60,15919.7,0.12339,0.6362,0.91408,0.46835,0.72335,0.59274,0.54624,0.28731,1.48629,0.26539,0.000462065,0.000462065,0.000462065
61,16193.9,0.11768,0.57495,0.90181,0.62756,0.63383,0.59446,0.58506,0.28186,1.35045,0.2699,0.000451066,0.000451066,0.000451066
62,16440.7,0.1232,0.58139,0.91638,0.6094,0.75158,0.72051,0.69479,0.32707,1.02052,0.29617,0.000440067,0.000440067,0.000440067
63,16682.3,0.11687,0.58756,0.89896,0.62228,0.61679,0.68205,0.63878,0.36867,1.03782,0.32299,0.000429068,0.000429068,0.000429068
64,16938,0.11877,0.56836,0.91793,0.64596,0.73688,0.67587,0.64589,0.29026,0.96002,0.28012,0.000418069,0.000418069,0.000418069
65,17206.8,0.12632,0.56705,0.90503,0.57154,0.70224,0.6584,0.63181,0.30965,1.18031,0.30845,0.00040707,0.00040707,0.00040707
66,17488.3,0.11325,0.53514,0.9069,0.62146,0.71455,0.65903,0.62917,0.30686,1.16435,0.30074,0.000396071,0.000396071,0.000396071
67,17755.1,0.11221,0.52353,0.9015,0.72312,0.61463,0.66143,0.62976,0.31754,1.19232,0.30801,0.000385073,0.000385073,0.000385073
68,17999.3,0.11046,0.52169,0.90729,0.68309,0.70515,0.72136,0.70012,0.27274,1.0484,0.27425,0.000374074,0.000374074,0.000374074
69,18240.2,0.11328,0.48801,0.90238,0.68143,0.69931,0.72953,0.70497,0.31286,1.15317,0.29761,0.000363075,0.000363075,0.000363075
70,18483,0.11156,0.4746,0.91278,0.70713,0.65867,0.67814,0.63381,0.35827,1.19104,0.32687,0.000352076,0.000352076,0.000352076
71,18730.1,0.1146,0.53009,0.91667,0.60726,0.66403,0.70349,0.68365,0.26879,1.12972,0.25752,0.000341077,0.000341077,0.000341077
72,18973,0.08703,0.45205,0.90324,0.66568,0.669,0.73774,0.73509,0.26327,1.0177,0.24923,0.000330078,0.000330078,0.000330078
73,19215,0.10871,0.47837,0.91976,0.73721,0.7065,0.76704,0.75254,0.2968,1.07503,0.26787,0.000319079,0.000319079,0.000319079
74,19455.7,0.09948,0.48592,0.90396,0.70263,0.70977,0.77691,0.71353,0.35185,1.26215,0.31787,0.00030808,0.00030808,0.00030808
75,19693.8,0.09906,0.45352,0.89897,0.68379,0.61341,0.698,0.64836,0.36241,1.31708,0.33643,0.000297081,0.000297081,0.000297081
76,19930.9,0.10104,0.50321,0.89211,0.70562,0.61061,0.69491,0.67239,0.31655,1.14393,0.28549,0.000286083,0.000286083,0.000286083
77,20169,0.09173,0.47932,0.89246,0.63685,0.6694,0.71339,0.7032,0.28708,1.02007,0.26144,0.000275084,0.000275084,0.000275084
78,20405.5,0.09746,0.45522,0.91358,0.68692,0.60875,0.69762,0.68921,0.25883,1.13316,0.24142,0.000264085,0.000264085,0.000264085
79,20643.5,0.09323,0.4635,0.90702,0.58752,0.79485,0.73591,0.72896,0.24224,1.03579,0.23108,0.000253086,0.000253086,0.000253086
80,20881.5,0.09137,0.47996,0.89839,0.66717,0.74794,0.76681,0.74667,0.29717,0.96923,0.2675,0.000242087,0.000242087,0.000242087
81,21122.9,0.08765,0.39998,0.90369,0.74686,0.69205,0.74154,0.70888,0.30054,0.96139,0.27277,0.000231088,0.000231088,0.000231088
82,21365.7,0.08645,0.44261,0.89355,0.73582,0.73514,0.75526,0.72077,0.30675,0.97775,0.28149,0.000220089,0.000220089,0.000220089
83,21608.5,0.08396,0.3977,0.90047,0.67841,0.69196,0.76435,0.7383,0.29986,1.00728,0.27525,0.00020909,0.00020909,0.00020909
84,21846.8,0.0791,0.41764,0.88625,0.73584,0.61858,0.76985,0.74883,0.26996,0.99105,0.24842,0.000198091,0.000198091,0.000198091
85,22083.9,0.08396,0.40573,0.8993,0.70023,0.66767,0.71282,0.69252,0.25635,1.04734,0.23753,0.000187092,0.000187092,0.000187092
86,22321.4,0.0765,0.40879,0.88112,0.68429,0.64569,0.72525,0.71106,0.24893,1.14067,0.23546,0.000176094,0.000176094,0.000176094
87,22559.9,0.07407,0.3783,0.89874,0.5987,0.75832,0.73306,0.72149,0.25379,1.16703,0.23458,0.000165095,0.000165095,0.000165095
88,22797.6,0.07441,0.39005,0.88999,0.72235,0.72204,0.73775,0.72338,0.24492,1.11251,0.23171,0.000154096,0.000154096,0.000154096
89,23037.8,0.07676,0.35486,0.89798,0.73124,0.72612,0.73519,0.71633,0.25148,1.09658,0.24174,0.000143097,0.000143097,0.000143097
90,23276.7,0.08634,0.383,0.90917,0.72711,0.72995,0.7392,0.7161,0.26543,1.09692,0.25166,0.000132098,0.000132098,0.000132098
91,23514.1,0.11174,0.69834,0.921,0.73961,0.72728,0.7504,0.73741,0.21814,1.09154,0.20432,0.000121099,0.000121099,0.000121099
92,23751.2,0.07378,0.29521,0.90648,0.75018,0.7154,0.72796,0.71538,0.2279,1.09953,0.20177,0.0001101,0.0001101,0.0001101
93,23988.3,0.05403,0.25603,0.91866,0.76893,0.72401,0.74139,0.72576,0.24976,1.14009,0.21533,9.91012e-05,9.91012e-05,9.91012e-05
94,24228.1,0.05504,0.19374,0.90249,0.7362,0.70245,0.72329,0.70568,0.25092,1.08638,0.21666,8.81023e-05,8.81023e-05,8.81023e-05
95,24464,0.06244,0.1917,0.89907,0.72435,0.68125,0.71369,0.7034,0.24233,1.05921,0.21116,7.71034e-05,7.71034e-05,7.71034e-05
96,24700.2,0.06254,0.15213,0.9022,0.69456,0.67803,0.71993,0.71011,0.25211,1.11921,0.21848,6.61045e-05,6.61045e-05,6.61045e-05
97,24937.8,0.05,0.1663,0.91981,0.73653,0.67034,0.73257,0.71545,0.26709,1.13978,0.23065,5.51056e-05,5.51056e-05,5.51056e-05
98,25175.1,0.04696,0.20099,0.91243,0.72356,0.68088,0.73711,0.7214,0.26613,1.13719,0.23095,4.41067e-05,4.41067e-05,4.41067e-05
99,25413.1,0.05499,0.14846,0.90398,0.78842,0.65426,0.75621,0.7349,0.27325,1.1115,0.23644,3.31078e-05,3.31078e-05,3.31078e-05
100,25647.9,0.05078,0.11473,0.91654,0.73948,0.65666,0.74594,0.72715,0.26056,1.09166,0.22759,2.21089e-05,2.21089e-05,2.21089e-05
